cname,sname,id,ResourceID
island tube lichen,Hypogymnia schizidiata,"2115",63004c4f-7b21-4951-9424-fe24cc109b3f
island wallflower,Erysimum insulare,"2116",c9c26f74-d31f-49b7-b5f7-69f5d0313e5a
island white-felted paintbrush,Castilleja hololeuca,"2117",454c73e3-1308-47c5-b2ef-a67e97337add
ivory-spined agave,Agave utahensis var. eborispina,"2118",18d5cc8b-1265-4af6-bc0c-9fee0037acf6
jackass-clover,Wislizenia refracta ssp. refracta,"2119",3b80e62f-e25e-41e1-8c33-93844b54486b
jointed buckwheat,Eriogonum intrafractum,"2120",cf97cd8b-b3e6-4b7f-85bc-957c9a983494
juniper sulphur-flowered buckwheat,Eriogonum umbellatum var. juniporinum,"2121",060af6f8-1211-46ef-a0d4-a0ba8b4cc527
keeled sideband,Monadenia circumcarinata,"2122",7ccaac8f-f3b2-4015-a9bb-dca693f79014
kitten-tails,Synthyris missurica ssp. missurica,"2123",75eb9fa8-95fe-4398-a7a7-689c8b33254c
kneecap lanx,Lanx patelloides,"2124",a69cd401-371b-42e5-b6e8-ec8848aea651
knotted rush,Juncus nodosus,"2125",3f6fe26f-b2b1-49bd-ad7a-ffab2864f494
lagoon sedge,Carex lenticularis var. limnophila,"2126",cb178144-45da-45bb-a944-b19f9a34090f
lance-leaved scurf-pea,Ladeania lanceolata,"2127",29fea3a6-5f77-480c-885a-7485d7b4f989
large-blotched salamander,Ensatina eschscholtzii klauberi,"2128",e23b79a7-5ebb-46c7-a2bd-c0c5869df2b2
large-flowered fiddleneck,Amsinckia grandiflora,"2129",89674d26-5f87-4374-87de-65fa2732db61
large-flowered triteleia,Triteleia grandiflora,"2130",33052aeb-ab7a-41e1-b5ba-54a2873c3071
late-flowered mariposa-lily,Calochortus fimbriatus,"2131",e9ea086e-1687-4edb-8a8b-ef8a898ea73f
leaden slug,Hesperarion plumbeus,"2132",a15e62f8-f9b9-43a9-8575-90c7cbec8e02
leafy reed grass,Calamagrostis foliosa,"2133",fe9c94ea-5cf5-456c-aef5-671a1eedca48
leafy-stemmed mitrewort,Mitellastra caulescens,"2134",6294c5a5-0325-4794-8b9f-a0a49a1fa92d
least Bell's vireo,Vireo bellii pusillus,"2135",ddc36626-e1ff-42d7-be17-c039ee482172
least bittern,Ixobrychus exilis,"2136",86a038d5-7070-4fe3-989d-6d21ef0ea435
legenere,Legenere limosa,"2137",ef2bbbd4-a4cb-4809-a6cd-4fe37c27e582
lemon lily,Lilium parryi,"2138",03cb524a-aadb-4d18-a297-fb9253401b2c
lens-pod milk-vetch,Astragalus lentiformis,"2139",3326e43b-dda2-428b-acf9-6ae25f16bb6f
lesser long-nosed bat,Leptonycteris yerbabuenae,"2140",08d20f61-63b3-44d2-8e53-d106696c4c08
lesser saltscale,Atriplex minuscula,"2141",f77acf1f-b919-42ed-b4ff-874991cbde00
lesser slender salamander,Batrachoseps minor,"2142",4a1cbd46-e01b-4ad7-aca2-db3acaa680af
light gray lichen,Mobergia calculiformis,"2143",df205c3a-d8ae-4359-ba3f-31aaa6c0176b
light-footed Ridgway's rail,Rallus obsoletus levipes,"2144",caac8a23-e709-4d42-8ea2-e19872f66168
lilliput lupine,Lupinus uncialis,"2145",40630053-58e7-4473-ace1-b631e7098f61
limestone beardtongue,Penstemon calcareus,"2146",aae619ad-de97-43f7-94cb-21e1c3ca2da1
limestone daisy,Erigeron uncialis var. uncialis,"2147",3f485a1f-0b52-45ce-8278-58e2df6c9f11
limestone monkeyflower,Erythranthe calcicola,"2148",7c72bf8b-793c-4caa-8423-217eed18d5f8
limestone salamander,Hydromantes brunus,"2149",6420dd20-d482-47a7-8e3e-72e67f01579a
little bulrush,Trichophorum pumilum,"2150",85bcb7b8-9442-4636-a1e6-755dee8f859b
little cutleaf,Hymenopappus filifolius var. nanus,"2151",5fe013f0-39f6-4f45-8c5a-d91f51768731
little hulsea,Hulsea nana,"2152",84dd01fb-d6e2-420c-a690-d7970e2e582b
little mousetail,Myosurus minimus ssp. apus,"2153",ba910df8-dacf-4eff-848a-1a3d2a7c2237
little purple monkeyflower,Erythranthe purpurea,"2154",146252e1-7772-498e-ab3c-46110c567ed6
little ricegrass,Stipa exigua,"2155",ce98336c-2732-41bd-ab5e-adec470242bd
little willow flycatcher,Empidonax traillii brewsteri,"2156",a9105c4c-e04b-4537-bf9f-54825ac9767d
little-leaf elephant tree,Bursera microphylla,"2157",a71a12b1-8308-4964-8e88-ecb9d1f181e3
little-leaved huckleberry,Vaccinium scoparium,"2158",0cb545a8-5960-485f-bc23-64696cd1596d
livid sedge,Carex livida,"2159",776cc5f8-0677-45f9-9f56-6ceaed15fa55
lobed ground-cherry,Physalis lobata,"2160",363adabf-3997-4dd0-97d3-b96149be0fad
lodgepole chipmunk,Neotamias speciosus speciosus,"2161",a42087af-53d9-4715-a549-081976cfd5e7
loggerhead shrike,Lanius ludovicianus,"2162",2d9c4f75-5a7b-483f-bc15-673678dec08b
long bluebells,Mertensia longiflora,"2163",bc74e47f-bd78-48d4-ad5f-e53ca7bd90d9
long seta hump moss,Meesia longiseta,"2164",e2afdcd3-65bb-4920-bacf-43b26f52544d
long-eared myotis,Myotis evotis,"2165",19a2627f-457d-40b5-b4b2-f24da002bf86
long-haired star-tulip,Calochortus longebarbatus var. longebarbatus,"2167",2e8e0413-be55-418d-81bd-4a868d7c750e
long-leaved starwort,Stellaria longifolia,"2168",041e4170-1f96-4523-b74c-6d1f495dcead
long-legged myotis,Myotis volans,"2169",ef69609d-8b5d-41c9-8331-61b5733663bc
long-petaled lewisia,Lewisia longipetala,"2170",1af2665e-2520-45ec-9671-87b036926089
long-spined spineflower,Chorizanthe polygonoides var. longispina,"2171",591a8a47-5936-496e-ad01-b6017c5479d4
long-stem evening-primrose,Oenothera longissima,"2172",d2ffa76e-46b3-4acd-a5d5-376d048fc95a
long-stiped campion,Silene occidentalis ssp. longistipitata,"2173",a9d89c3a-3d4d-46b5-a932-a8bf32c982ee
long-styled sand-spurrey,Spergularia macrotheca var. longistyla,"2174",334e6acc-f6b1-47b2-b60c-699e18fdc5ee
long-tailed caddisfly,Farula praelonga,"2175",d5919302-86fa-4d5b-b775-aa8e064e3eab
longfin smelt,Spirinchus thaleichthys,"2176",fe166485-280e-427c-9eee-f51e8ea4a7ff
longhorn fairy shrimp,Branchinecta longiantenna,"2177",7f7f6049-3d53-497d-8694-1215cdeb7a35
lost thistle,Cirsium praeteriens,"2178",c107dbf5-c549-4352-a1b5-9b28d431df74
lotis blue butterfly,Plebejus idas lotis,"2179",e2890994-3032-4c39-874f-1a00b1150f4c
lowland leopard frog,Lithobates yavapaiensis,"2180",ff2aa0c1-4849-4ba3-ae44-511826f5e1a7
lucky morning-glory,Calystegia felix,"2181",f9b8660a-20ac-4ed0-bb87-c1cf3ec9e3de
maidenhair spleenwort,Asplenium trichomanes ssp. trichomanes,"2182",af99de0b-1d35-4bb1-a164-64fe5d4d1ebc
male fern,Dryopteris filix-mas,"2183",d7e7cd7c-5a70-47c3-b988-cb94c50c4dcb
many-flowered bahia,Bahia neomexicana,"2184",be03fed7-2b81-4562-ad81-e33853801263
many-flowered navarretia,Navarretia leucocephala ssp. plieantha,"2185",38afb81b-9ba9-446d-87de-e3cf979a0c35
many-flowered phacelia,Phacelia floribunda,"2186",c95f60e0-9965-4d63-90c8-aa5286058cd9
many-flowered thelypodium,Thelypodium milleflorum,"2187",791e0269-94e4-402f-8b3e-6e1356b2b764
many-stemmed dudleya,Dudleya multicaulis,"2188",d00d16f0-1b11-475a-b784-d2139edd262a
maple-leaved checkerbloom,Sidalcea malachroides,"2189",dde9fd4a-ffca-4cb0-ba9d-f38f6821a5a6
marble rockmat,Petrophytum caespitosum ssp. acuminatum,"2190",243e6205-7288-4e68-8e2f-f1181cefd697
marbled harvestman,Calicina macula,"2191",29b80f34-439f-4521-a324-b102e45110d5
marbled murrelet,Brachyramphus marmoratus,"2192",df469f67-a519-4081-8876-1ed748352f97
marbled wild-ginger,Asarum marmoratum,"2193",c3ecf92c-812d-4ff9-875f-4d4d5079d8e8
marcescent dudleya,Dudleya cymosa ssp. marcescens,"2194",066b4063-c8fb-4b20-95d6-167009d3ed4d
mardon skipper,Polites mardon,"2195",d4a74222-1956-4750-9425-8ea9dd86ec3f
maritime ceanothus,Ceanothus maritimus,"2196",ee496674-d896-4e03-972e-20a5f76f55b9
marsh arrow-grass,Triglochin palustris,"2197",62712fc6-4a66-4b78-97e3-44b07a42a342
marsh checkerbloom,Sidalcea oregana ssp. hydrophila,"2198",55bee48e-b6fd-4be5-9629-70c09e171521
marsh microseris,Microseris paludosa,"2199",39a55bff-8b58-40cf-96e8-206a518d7c7c
marsh pea,Lathyrus palustris,"2200",15a82b20-a85a-4e87-b8ef-e1622922c2cf
marsh sandwort,Arenaria paludicola,"2201",fe0537c0-ed3d-47be-8ba3-23b94c0d06aa
marsh skullcap,Scutellaria galericulata,"2202",495ca7cf-fdd0-4c11-ac18-86f7ad7ce058
marsh willowherb,Epilobium palustre,"2203",6380dd67-dd35-4f05-98da-de1758a8d5e6
maverick clover,Trifolium piorkowskii,"2204",565dcfef-4648-458f-97fa-2d2c481931ae
merlin,Falco columbarius,"2205",192f6fe1-1e7c-43ee-a066-a1e22d405dc1
mesa horkelia,Horkelia cuneata var. puberula,"2206",42c661e0-6f7c-46d0-aaa0-5601eb5f1c30
mesa shoulderband,Helminthoglypta coelata,"2207",8be7a3c1-2552-4bf1-b9b1-55a0d8105954
mesquite neststraw,Stylocline sonorensis,"2208",5a59a5db-f0b4-4b3c-8cf6-985e8b218a5c
midvalley fairy shrimp,Branchinecta mesovallensis,"2209",dbba5ddb-a26c-45b4-be04-24c49727bb89
mimic tryonia (=California brackishwater snail),Tryonia imitator,"2210",09492808-bf3a-4e81-9616-eea2fc4ff0b1
minute pocket moss,Fissidens pauperculus,"2211",2fb5a53c-5ec2-49e6-9e05-82a484bad7ae
moestan blister beetle,Lytta moesta,"2212",93333f48-0645-4221-8e41-41efcd8277ec
molestan blister beetle,Lytta molesta,"2213",3808966d-5b5e-4c64-a94d-dbc5af6dd020
monarch - California overwintering population,Danaus plexippus pop. 1,"2214",ac18b90d-22af-458d-a943-30b1a6be0401
montane peaclam,Pisidium ultramontanum,"2215",d51793c0-cdc3-49fa-bf68-33c92124239d
moosewort,Botrychium tunux,"2216",49b6e0c2-762a-4c40-be46-0c45ec1a1a5c
most beautiful jewelflower,Streptanthus albidus ssp. peramoenus,"2217",63ff7ecf-c521-4309-9d74-4238f085ffb7
mountain bent grass,Agrostis humilis,"2218",3e77e240-5965-4d76-8dac-8ec1e6fe65ae
mountain plover,Charadrius montanus,"2219",dae66cc5-23e2-4059-817b-e07489641792
mountain shoulderband,Helminthoglypta arrosa monticola,"2220",8948503a-ba6d-4044-a2f4-e94957d10ec3
mountain sucker,Catostomus platyrhynchus,"2221",323b4f82-0493-4ad6-91c5-d06ddb0ae5b0
mouse buckwheat,Eriogonum nudum var. murinum,"2222",c6d1a665-fe72-4044-b0bd-14eb4d4d31b4
mouse-gray dudleya,Dudleya abramsii ssp. murina,"2223",1cace80f-8c7b-452e-aa9f-c419716742f5
mud nama,Nama stenocarpa,"2224",0f65f14b-58ab-409c-9582-3fa6369198ec
mud sedge,Carex limosa,"2225",3cc3f6e0-57de-46bb-9d06-9b0bf999e40b
munchkin dudleya,Dudleya gnoma,"2226",b50d319f-41a3-46af-8464-a02be6df1038
naked flag moss,Discelium nudum,"2227",74c3a6e8-2fe1-4797-aa4c-bf9dd55daf38
naked-stemmed phacelia,Phacelia gymnoclada,"2228",e51d1360-1269-4164-ad89-efde8eef200e
nard sedge,Carex nardina,"2229",9b9aa99e-13bc-43ee-b47d-340d992a1495
narrow-anthered brodiaea,Brodiaea leptandra,"2230",ca023b8f-9901-4d38-bc59-6613b4d459e2
narrow-leaf sandpaper-plant,Petalonyx linearis,"2231",0044b5e9-15f9-4da4-9036-90bb24477c84
narrow-leaved cottonwood,Populus angustifolia,"2232",2d3e60d7-e85d-467e-918e-8b9ef3ec58cf
narrow-leaved psorothamnus,Psorothamnus fremontii var. attenuatus,"2233",d2f6e409-6807-49af-969c-6ba5f3172876
narrow-leaved yerba santa,Eriodictyon angustifolium,"2234",ef7cd87d-cef6-4148-a33f-053c6b9e5f98
nine-awned pappus grass,Enneapogon desvauxii,"2235",6486fd24-582c-4c5b-aedb-9f9115d0bf19
northern California brook lamprey,Entosphenus folletti,"2236",d58c4b0f-e373-4f9b-8fd7-a22505afd2a2
northern California legless lizard,Anniella pulchra,"2237",8013969f-ba5a-429a-8ca7-1119ff40c728
northern Channel Islands phacelia,Phacelia insularis var. insularis,"2238",1fbc86f5-2f68-45d9-92f8-4a5b5ab33fe8
northern adder's-tongue,Ophioglossum pusillum,"2239",2114d8de-7c84-4b21-b334-e6fc1e849d5a
northern cardinal,Cardinalis cardinalis,"2240",1b968398-fe52-45f4-96e2-f1376e7984de
northern clarkia,Clarkia borealis ssp. borealis,"2241",4cced245-7837-4405-bdfc-311d8b3d2d90
northern clustered sedge,Carex arcta,"2242",df948310-010f-497d-81a5-1061ff5b0f0e
northern coralroot,Corallorhiza trifida,"2243",0db3b497-4aa9-4712-9c28-1b4b08825933
northern curly-leaved monardella,Monardella sinuata ssp. nigrescens,"2244",6d5236de-a4cc-4fd5-ad98-c288db3f57c0
northern fur-seal,Callorhinus ursinus,"2245",58c0292d-5d7e-4771-9f3c-2eb02bbb29cb
northern goshawk,Accipiter gentilis,"2246",0c5a79df-f4d8-48f6-a6eb-8eda952638e2
northern harrier,Circus hudsonius,"2247",7757ed04-bf87-47ad-8545-856f2ed48e0d
northern leopard frog,Lithobates pipiens,"2248",7c2c4745-0988-488c-8da1-7b725e311afa
northern meadow sedge,Carex praticola,"2249",362ef3f3-4b06-4c81-b813-80f2dfe98634
northern microseris,Microseris borealis,"2250",0f987643-7a94-4ec3-8dca-b0c0a2be2d03
northern red-legged frog,Rana aurora,"2251",52a9e837-adf7-4f58-bd30-0a9faca2b928
northern sagebrush lizard,Sceloporus graciosus graciosus,"2252",b06412e3-9cf2-4abc-a178-65f5ab9dc4b3
northern spleenwort,Asplenium septentrionale,"2253",945c7bf8-3e69-4baa-90d0-e0c6c628776f
northwestern San Diego pocket mouse,Chaetodipus fallax fallax,"2254",1e212e37-675a-496f-9583-6726a94008ee
northwestern moonwort,Botrychium pinnatum,"2255",da2fc28f-f686-47b5-9f07-13ea72ca8ecb
notch-beaked milkwort,Polygala heterorhyncha,"2256",b774e028-5cd8-42bd-9698-958eb3289c8a
nugget pebblesnail,Fluminicola seminalis,"2257",79a54386-bea0-4d30-8b7a-cec4ccd62ae4
oak titmouse,Baeolophus inornatus,"2258",e897c1e7-2611-405e-99b5-1a4378f2b3aa
obscure bumble bee,Bombus caliginosus,"2259",49a583bd-85ef-4286-9ea1-3df429d58e2d
obtuse starwort,Stellaria obtusa,"2260",9d7e2f7e-62b0-4e15-bf12-b9db2fbb4c6a
ochre-flowered buckwheat,Eriogonum ochrocephalum var. ochrocephalum,"2261",5c75ec9a-10a6-443a-8cab-26d5c076ed33
oil neststraw,Stylocline citroleum,"2262",aaeb88ec-e2ee-48d4-9331-ebbee8cd00ec
opposite-leaved lewisia,Lewisia oppositifolia,"2263",f050619d-9b94-4422-9807-dd7889cb5392
orange lupine,Lupinus citrinus var. citrinus,"2264",bb4ca449-e77d-4579-b9db-fbd87c567958
orange-throated whiptail,Aspidoscelis hyperythra,"2265",8af0ad77-9d42-45c1-b33e-bb742996b831
ornate dalea,Dalea ornata,"2266",b8d82e99-bd86-4764-989a-c6dfd899dcdc
osprey,Pandion haliaetus,"2267",02977d51-a734-4f83-b0d5-c2768490d5d3
oval-leaved snapdragon,Antirrhinum ovatum,"2268",bf0fc0f4-7042-4d55-919d-1ab268043d80
oval-leaved viburnum,Viburnum ellipticum,"2269",7a261829-dde4-47d2-8690-4d97ad548adc
pale yellow stonecrop,Sedum laxum ssp. flavidum,"2270",4e498ad1-1895-4ed4-bbec-217d29c2d001
pale-yellow layia,Layia heterotricha,"2271",fc7e523d-ec4d-4244-8bad-8a1390cd3722
pallid San Diego pocket mouse,Chaetodipus fallax pallidus,"2272",5179664a-f082-46f4-bc32-cef8214df3f4
pallid bat,Antrozous pallidus,"2273",3b112227-f7be-4881-af69-2bad89ede41b
pallid bird's-beak,Cordylanthus tenuis ssp. pallescens,"2274",59b75bce-3385-4969-8e09-961efecd2b05
pallid manzanita,Arctostaphylos pallida,"2275",f6a0193a-ace3-4efa-a2ed-6da89db0f694
palmate-bracted bird's-beak,Chloropyron palmatum,"2276",6ed9d657-e504-45cf-9a24-aa42dd7ce025
pappose tarplant,Centromadia parryi ssp. parryi,"2277",f2cda8d4-3951-482f-b68e-67c33df9e7a2
paradox moonwort,Botrychium paradoxum,"2278",50c548d0-a15e-4fee-bc64-3cf6f285bc2b
peak shoulderband,Helminthoglypta milleri,"2279",711d8209-dd3f-4f19-bc7f-222932fa43de
pendulous bulrush,Scirpus pendulus,"2280",a2076c54-50a7-43f8-a58d-7ff8ed745289
perennial goldfields,Lasthenia californica ssp. macrantha,"2281",0cc4ae3e-bcac-497d-a67d-e1222c0bd4e6
pincushion navarretia,Navarretia myersii ssp. myersii,"2282",7f0b79b3-51f0-4332-a85f-de55fcf978be
pine rose,Rosa pinetorum,"2283",4aa02808-4d11-4244-9628-0ca0482dc8f7
pink Johnny-nip,Castilleja ambigua var. insalutata,"2284",a0ad1a5c-a9a9-4ee0-91fc-82a34b1de66a
pink creamsacs,Castilleja rubicundula var. rubicundula,"2285",63e63022-ec00-4238-8886-3ecce8dac47b
pink fairy-duster,Calliandra eriophylla,"2286",fb2e27b0-b943-4226-b980-cce513ac628a
pink salmon,Oncorhynchus gorbuscha,"2287",6cc6b42b-4e60-4cdd-bf1c-b705e7527fe9
pink sand-verbena,Abronia umbellata var. breviflora,"2288",e8ec73f6-9483-4fed-8aad-5b05e1250c1f
pink teddy-bear cholla,Cylindropuntia fosbergii,"2289",354f99b6-a346-4bab-ba01-323b8d70c960
pink-margined monkeyflower,Erythranthe trinitiensis,"2290",b44682d7-ac48-4d40-807c-a2f086535c4e
pinyon rockcress,Boechera dispar,"2291",718b903b-39f9-4807-a0ed-9d5ffe7fe258
plains bee balm,Monarda pectinata,"2292",d46c0822-2732-4a75-9900-c35e5fe2aafd
plains flax,Linum puberulum,"2293",79f21675-b2b6-48a1-b94a-a865c98f00e6
plains stoneseed,Lithospermum incisum,"2294",7dc535e1-3b8e-4096-9005-a7fd7753b2f6
playa milk-vetch,Astragalus allochrous var. playanus,"2295",c57347ba-b68a-4ed4-8582-eabc8c527d52
playa phacelia,Phacelia inundata,"2296",ba48a853-6358-4c88-8587-6a93c3f85d3e
pocket pouch fairy shrimp,Branchinecta campestris,"2297",c98005f8-6a74-4c53-bb33-e087bf97c460
pocketed free-tailed bat,Nyctinomops femorosaccus,"2298",4f55843b-4e5d-486a-8970-0deeb9209644
pointed broom sedge,Carex scoparia var. scoparia,"2299",215fea3a-bae7-4597-8aba-b2845ebdedb3
polished blazing star,Mentzelia polita,"2300",cda6aa14-a120-4041-a5bd-2e37be5d7a28
popcorn lichen,Cladonia firma,"2301",87c41b45-0f22-4985-aded-995287eba4a2
porcupine sedge,Carex hystericina,"2302",d82dfba1-5bfd-4d9b-b7f9-6ff0fccf315d
prairie falcon,Falco mexicanus,"2303",fda4068b-05ca-4312-9291-9272a769e621
prairie wedge grass,Sphenopholis obtusata,"2304",8b49d942-12a1-4b6b-adf8-d42df1b0e6cf
pricklypear islandsnail,Micrarionta opuntia,"2305",95d4016e-d52d-4709-b8b6-494a7309e027
pristine pyrg,Pristinicola hemphilli,"2306",008a0dcc-c899-4c38-9721-8dff2b7aabd1
profuse-flowered pogogyne,Pogogyne floribunda,"2307",79960feb-e023-41b2-af49-41d8737676f4
prostrate buckwheat,Eriogonum prociduum,"2308",74ef1698-1890-41b8-8240-67e3c7e1abe8
prostrate vernal pool navarretia,Navarretia prostrata,"2309",f7eb7693-bf2d-4cb2-84cd-0cf33faed9f8
pumice moonwort,Botrychium pumicola,"2310",cf452126-5093-40f4-a063-f49b6dd965f1
pungent glossopetalon,Glossopetalon pungens,"2311",5c14d3c4-97a4-4b76-a4a3-5df506ffee74
purple martin,Progne subis,"2312",5c24cf4d-4871-42bb-b7ce-8996c8e59e4b
purple mountain-parsley,Oreonana purpurascens,"2313",083f968c-04f9-4520-ac56-c2e5ff47675e
purple stemodia,Stemodia durantifolia,"2314",08e1c14f-4c86-4269-aa49-6c14b917526b
purple-nerve cymopterus,Cymopterus multinervatus,"2315",ad6f7a40-1de5-443a-8091-a864d17dd6a0
purple-stemmed checkerbloom,Sidalcea malviflora ssp. purpurea,"2316",2be95a10-8f38-41a7-bfc5-f56d4fa7513a
pygmy cypress,Hesperocyparis pygmaea,"2317",cb430fad-41c9-4fce-ac7e-d21f9647bef9
pygmy gentian,Gentiana prostrata,"2318",b487c9b2-f02e-465f-95e3-663e63eae4e2
pygmy hulsea,Hulsea vestita ssp. pygmaea,"2319",9847b7e4-915c-415b-92f0-20fd46b64ae8
pygmy leptosiphon,Leptosiphon pygmaeus ssp. pygmaeus,"2320",443ba7dd-7f80-4afd-b653-595e27c4bfa3
pygmy lotus,Acmispon haydonii,"2321",e09c99da-e2f8-441d-8c4e-03f011c2da06
pygmy manzanita,Arctostaphylos nummularia ssp. mendocinoensis,"2322",ca91ce6c-6768-4677-92ce-4ce02d218af1
pygmy pussypaws,Calyptridium pygmaeum,"2323",ca59950e-6035-4e27-b024-b6dfac4680f1
pygmy rabbit,Brachylagus idahoensis,"2324",306276eb-fe0c-44d6-b388-12cbfcd625d9
pyrola-leaved buckwheat,Eriogonum pyrolifolium var. pyrolifolium,"2325",8b4bc5f2-78c1-4a0e-93f4-343f74143903
quino checkerspot butterfly,Euphydryas editha quino,"2326",3c90af59-2b84-4b71-95a9-5c851b84a096
rabbit-ear rockcress,Boechera pendulina,"2327",61590704-4801-4030-8f5c-8b75fe95b080
rattlesnake fern,Botrypus virginianus,"2328",91bb83b8-35ca-4459-a820-d1608c2d4282
rayless layia,Layia discoidea,"2329",963af8bc-36d6-4369-bd5d-db8f7ba0e289
rayless mountain ragwort,Packera indecora,"2330",ff78e38e-65c8-4ffa-bef7-f19a56a9e31e
razorback sucker,Xyrauchen texanus,"2331",05e587cf-22b4-4566-b828-77b59d6d1a5e
recurved larkspur,Delphinium recurvatum,"2332",0f172c7b-4002-4e4f-b124-1135e9deb09b
red four o'clock,Mirabilis coccinea,"2333",e75b630d-8ba9-4a34-a803-2b6a466196f7
red-bellied newt,Taricha rivularis,"2334",4bded54f-6e84-47c8-96d9-002c3de291c4
red-breasted sapsucker,Sphyrapicus ruber,"2335",c23a6f13-19d9-4e32-bef0-f483f2a84629
red-diamond rattlesnake,Crotalus ruber,"2336",cf474361-caa2-45b2-bd28-bfc72b7c9766
red-flowered bird's-foot trefoil,Acmispon rubriflorus,"2337",cb38b6f6-0595-4164-bf86-2a6f433987fb
red-flowered buckwheat,Eriogonum grande var. rubescens,"2338",f16a87b3-7e11-4810-afec-588da5f38612
redheaded sphecid wasp,Eucerceris ruficeps,"2339",fb03eb2f-2b97-451c-8b2f-c426a99b6e72
redwood juga,Juga orickensis,"2340",38c56224-18e4-46c8-aa76-6756513d3f19
redwood shoulderband,Helminthoglypta sequoicola consors,"2341",b98148f2-7b56-4ad3-8d0f-710489a191dc
regal ringneck snake,Diadophis punctatus regalis,"2342",dc988121-ed9c-42a8-80f6-afc9b08a567a
relictual slender salamander,Batrachoseps relictus,"2343",4def465d-4b95-4ead-bd11-3b419162f6f9
rhinoceros auklet,Cerorhinca monocerata,"2344",5c0ea9ea-2fe9-46ca-9599-7602c26c715a
ribbed lancetooth,Haplotrema duranti,"2345",e3661473-8c35-4585-b5e7-fa18fba92ee6
rigid fringepod,Thysanocarpus rigidus,"2346",479a9557-a5c7-49da-bf47-3e35aee8a187
rigid pea,Lathyrus rigidus,"2347",fc1cf9ec-ff83-4ced-8ed1-7b4bc25e12d1
riparian (=San Joaquin Valley) woodrat,Neotoma fuscipes riparia,"2348",63c38b0d-8fd2-42a4-b408-1283f3637120
riparian brush rabbit,Sylvilagus bachmani riparius,"2349",5b0ef141-639b-4da1-93c1-1508984e448c
robust Hoffmann's buckwheat,Eriogonum hoffmannii var. robustius,"2350",37725786-e232-4a0f-9bb7-d2582b0c44d4
robust false lupine,Thermopsis robusta,"2351",c3da4903-71a4-4259-891f-d4c428242921
robust spineflower,Chorizanthe robusta var. robusta,"2352",30d46a8e-c47e-46b0-b13e-f8f26469728d
robust tryonia,Ipnobius robustus,"2353",81dea054-bf42-4eaf-af3d-354978dcefa5
robust walker,Pomatiopsis binneyi,"2354",48e63756-8025-47cd-9e23-7a9d8d5093e7
rock lady,Holmgrenanthe petrophila,"2355",1a443313-b6c4-4bf2-9509-84c5de1ed3fe
rock sandwort,Arenaria lanuginosa var. saxosa,"2356",f4b1c42b-5c8f-4166-8bd1-c47346b9666a
rock sanicle,Sanicula saxatilis,"2357",8c056f97-b7ef-431d-aa4d-dc6f75725db4
rock-loving oxytrope,Oxytropis oreophila var. oreophila,"2358",e73e8177-8ac6-47a7-8373-13ff71db76a5
rocky coast Pacific sideband,Monadenia fidelis pronotis,"2359",d27146cb-110b-4293-83ce-3c66e0ddbda0
rose leptosiphon,Leptosiphon rosaceus,"2360",a4b8fb5a-938a-484f-aa50-00629b350a0f
rose-flowered larkspur,Delphinium purpusii,"2361",6d885fdc-2c6d-4479-806d-d345bbcdf6f6
rosette cushion cryptantha,Greeneocharis circumscissa var. rosulata,"2362",984d82d4-1dce-40ef-8df7-0d320d7d268d
rosy two-toned beardtongue,Penstemon bicolor ssp. roseus,"2363",42ef8191-b905-4206-b055-692a46f465a4
rough menodora,Menodora scabra var. scabra,"2364",b9236de3-6896-46f3-b9f9-27ffae2da8fd
rough sculpin,Cottus asperrimus,"2365",c8104e79-e360-45c3-901c-29fce564b93e
roughstalk witch grass,Panicum hirticaule ssp. hirticaule,"2366",169f17bb-5af8-4876-9bc9-56bfc8754608
round-headed Chinese-houses,Collinsia corymbosa,"2367",1614a694-4337-4197-9782-61c88af3b7b0
round-headed beaked-rush,Rhynchospora globularis,"2368",4628adc9-ad86-49c6-90d8-223caace61f3
ruffed grouse,Bonasa umbellus,"2369",6bde384b-c83e-41d2-b6a7-35cee65af999
running-pine,Lycopodium clavatum,"2370",cd6e79d9-291d-4335-919e-c54ea1ae3203
sagebrush bluebells,Mertensia oblongifolia var. oblongifolia,"2371",faca0200-9dd8-4fa0-b445-47282e8dd9ea
sagebrush loeflingia,Loeflingia squarrosa var. artemisiarum,"2372",1230d2a8-15da-419f-890f-3efd17b60b6d
saguaro,Carnegiea gigantea,"2373",52330a7e-2d8e-4487-be51-3148020a92b3
saline clover,Trifolium hydrophilum,"2374",e518776f-2493-4f1a-aed4-184de51795cf
salt marsh bird's-beak,Chloropyron maritimum ssp. maritimum,"2375",2d73d0a9-564f-4f19-b736-737a8a57c3b0
salt spring checkerbloom,Sidalcea neomexicana,"2376",68bfbc34-b6d8-4faf-a20d-9532760439ae
salt-marsh harvest mouse,Reithrodontomys raviventris,"2377",2bf08548-e554-42a4-9e2e-9f029d97b3a3
salt-marsh wandering shrew,Sorex vagrans halicoetes,"2378",d89f08d7-335c-401c-b3bb-375257805d64
saltmarsh common yellowthroat,Geothlypis trichas sinuosa,"2379",7f18770a-293e-4cb0-be10-195069ef9e1a
sand dune cryptantha,Cryptantha fendleri,"2380",e38d1c04-d15c-42d1-9e27-c7739a850201
sand dune phacelia,Phacelia argentea,"2381",2e75eacb-1f53-4edd-80a6-b5fc1baefd2f
